slot	symbol	type	guard	matcher	state	basis	evidence_needed	effect_class	early_a53_relation
9	ARM64_HAS_AMU_EXTN	ARM64_CPUCAP_WEAK_LOCAL_CPU_FEATURE	CONFIG_ARM64_AMU_EXTN=y	has_amu	PRESENT	has_amu returns true unconditionally when compiled	none_for_descriptor_state; resolved_config_must_confirm_guard	existing_weak_local_per_cpu_enable	PRESENT unconditionally; target is not newly required; cpu_amu_enable remains target-ID-gated
33	ARM64_HAS_GICV5_LEGACY	ARM64_CPUCAP_EARLY_LOCAL_CPU_FEATURE	unguarded	test_has_gicv5_legacy	UNRESOLVED	depends on target-local GICv5 CPU-interface and legacy-interface registers	target ID_AA64PFR2_EL1.GCIE; target ICC_IDR0_EL1.GCIE_LEGACY; early-A53 capability state	early_local_compatibility_only	UNKNOWN; early present plus target absent conflicts; early absent plus target present is permitted but unused
36	ARM64_HAS_ICH_HCR_EL2_TDIR	ARM64_CPUCAP_EARLY_LOCAL_CPU_FEATURE	unguarded	can_trap_icv_dir_el1	UNRESOLVED	depends on hyp availability, local GIC state, and ICH_VTR_EL2.TDS or HVC response	hyp availability; target GICv3 or GICv5-legacy state; ICH_VTR_EL2.TDS or exact HVC_GET_ICH_VTR_EL2 result; early-A53 capability state	early_local_compatibility_only	UNKNOWN; early present plus target absent conflicts; early absent plus target present is permitted but unused
47	ARM64_HAS_BBML2_NOABORT	ARM64_CPUCAP_EARLY_LOCAL_CPU_FEATURE	unguarded	has_bbml2_noabort	ABSENT	A72 is outside supports_bbml2_noabort_list	none_for_target_state	none_for_target	ABSENT for A53 and A72 under canonical MIDR allowlist
66	ARM64_HW_DBM	ARM64_CPUCAP_WEAK_LOCAL_CPU_FEATURE	CONFIG_ARM64_HW_AFDBM=y	has_hw_dbm	PRESENT	has_hw_dbm returns true unconditionally when compiled	none_for_descriptor_state; resolved_config_must_confirm_guard	existing_weak_local_per_cpu_enable	PRESENT unconditionally; target is not newly required; cpu_enable_hw_dbm remains HAFDBS-and-broken-list-gated
69	ARM64_MISMATCHED_CACHE_TYPE	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	unguarded	has_mismatched_cache_type	UNRESOLVED	match is true only when both target raw and effective CTR differ from finalized strict system CTR	target raw CTR_EL0; target effective CTR_EL0 including CLIDR derivation; finalized A53 arm64_ftr_reg_ctrel0.sys_val and strict_mask	conditional_new_erratum_ctr_trap	UNKNOWN; if early absent and target present this is newly required; if early present target absent is optional
79	ARM64_SPECTRE_V2	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	unguarded	has_spectre_v2	UNRESOLVED	A72 is not safe-listed; CSV2 or SMCCC WA1 may still make it unaffected	target ID_AA64PFR0_EL1.CSV2; exact SMCCC ARCH_WORKAROUND_1 response; conduit for usable mitigation	conditional_new_erratum_spectre_v2	ABSENT on safe-listed A53; target PRESENT would be newly required
81	ARM64_SPECTRE_V4	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	unguarded	has_spectre_v4	UNRESOLVED	A72 is not safe-listed; target SSBS or SMCCC WA2 determines affected/mitigated state	target SSBS capability and ID_AA64PFR1_EL1 state; exact SMCCC ARCH_WORKAROUND_2 response; conduit and ssbd policy for effects	conditional_new_erratum_spectre_v4	ABSENT on safe-listed A53; target PRESENT would be newly required
82	ARM64_SPECTRE_BHB	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	unguarded	is_spectre_bhb_affected	UNRESOLVED	A72 is not safe-listed; CSV2.3 alone can make descriptor absent	target ID_AA64PFR0_EL1.CSV2 for capability state; ClearBHB, ECBHB, WA3, conduit, Spectre-v2 state, and policy for method	conditional_new_erratum_spectre_bhb	ABSENT on safe-listed A53; target PRESENT would be newly required
85	ARM64_UNMAP_KERNEL_AT_EL0	ARM64_CPUCAP_BOOT_RESTRICTED_CPU_LOCAL_FEATURE	row unguarded; cpucap_is_possible requires CONFIG_UNMAP_KERNEL_AT_EL0=y	unmap_kernel_at_el0	ABSENT	A72 is KPTI-safe and selected profile has CONFIG_UNMAP_KERNEL_AT_EL0=y, RANDOMIZE_BASE=n, nokaslr, and no kpti force-on	buildbox-resolved config and final forced command line must confirm profile-static assumptions	none_for_target	ABSENT for safe-listed A53 and A72 under selected profile
87	ARM64_WORKAROUND_843419	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_ERRATUM_843419=y	cpucap_multi_entry_cap_matches; match_list=erratum_843419_list	ABSENT	canonical match-list contains A53 and Brahma-B53 only	none_for_target_state	none_for_target	early A53 is revision-and-REVIDR-dependent; target absence is optional
