field	value	evidence	decision
primary_address	0x68	0170;da921x-i2c6-a72.md	observed-read-only
page2_client_address	0x69	0170;da921x-i2c6-a72.md	observed-read-only
provider_vsel_registers	0xd7,0xd9	0170	read-only-direct-address
provider_control_registers	0x5d,0x5e	0170	read-only-direct-address
provider_vsel_mask	0x7f	0170;legacy-source-crosscheck	vendor-table-known-mainline-write-unproven
provider_enable_mask	0x01	0170;legacy-source-crosscheck	vendor-bit-known-mainline-write-unproven
a36_page_value	0x80	0164;ownership-rollback-audit	prestate-and-vendor-page-revert-observed
a36_buckb_vsel	0x46	0164;ownership-rollback-audit	prestate-and-vendor-vsel-observed
page_encoding	partially-proven	legacy-datasheet;Gemian-source;runtime-page-revert	BLOCK_WRITABLE_PROVIDER
page_owner	candidate-owner;ready-gate-only;firmware-lease-unproven	Gemian-da9214-mutex;DVFSP-semaphore-gap	BLOCK_WRITABLE_PROVIDER
write_transport	vendor-shape-known;mainline-arbitration-unproven	Gemian-i2c-transfer;mainline-I2C6-gap	BLOCK_WRITABLE_PROVIDER
control_mask	vendor-bit0-known;mainline-contract-unproven	Gemian-read-modify-write;no-mainline-owner	BLOCK_WRITABLE_PROVIDER
post_settle_readback	vendor-observed;provider-unimplemented	owner-observer;current-provider-read-only	BLOCK_WRITABLE_PROVIDER
rollback_owner	pre-isolation-accepted;post-isolation-unresolved	rollback-runtime;ownership-matrix	BLOCK_WRITABLE_PROVIDER
mainline_handoff	profile-selected;I2C6-access-controller;ready-gate-present	0100;0101;0102;handoff-profile	PASS_HANDOFF_GATE_ONLY
provider_transfer	direct-__i2c_transfer;write-absent	0170;read-only-provider	PASS_READ_ONLY
core_dispatch	expanded;master_xfer-path-proven	managed-linux-7.1.3-source;I2C-core-dispatch	PASS_CORE_DISPATCH
linux_bus_lock	provider-root-lock;core-lock-precondition-proven	0170;managed-linux-7.1.3-source	PASS_LINUX_SERIALIZATION
dvfsp_ready	state-and-permission-ready;entry-check-proven	0100;0101;dvfsp-lease-audit	PASS_READY_GATE
mainline_transfer_lease	0174-validated;generation-cookie;PM-lock-integrated;Buildbox-pass	0174;dvfsp-lease-audit;buildbox-transfer-lease	PASS_BUILDBOX_CONTRACT
firmware_owner_lease	unproven;vendor_SEMA_I2C_DRV_not_represented	0100;0101;vendor-crosscheck;dvfsp-lease-audit;firmware-owner-lease-20260806	BLOCK_WRITABLE_PROVIDER
firmware_protocol_contract	0175-default-unregistered;Buildbox-pass	2026-08-06-mt6797-dvfsp-firmware-lease	CONTRACT_ONLY
pcm_firmware_owner_scan	negative-direct-literal;archive-boundary-only	pcm-firmware-owner-scan-20260806	NO_NEW_OWNER_AUTHORITY
secure_owner_image_scan	LK-generic-I2C;ATF-CSPM-interference-attributed;SCP-DVFS-SPM;no-PCM-restart-SEMA-owner	secure-owner-image-scan-20260806	NO_NEW_OWNER_AUTHORITY
hardware_action	none	source-only audit	PASS_SAFETY
