id	boundary	candidate	source_result	decision
M01	device-binding	custom-compatible-directly-below-reserved-memory	not-auto-populated-without-core-whitelist-change	reject
M02	device-binding	generic-nvmem-rmem	general-provider-and-repeat-read-contract-do-not-match	reject
M03	device-binding	normal-platform-consumer-with-memory-region	standard-population-and-explicit-reservation-reference	select
M04	physical-identity	hard-coded-C-address	duplicates-DT-and-admits-hidden-fallback	reject
M05	physical-identity	one-phandle-exact-64KiB-no-map	fully-attributable-Gemini-reservation	select
M06	mapping	persistent-devm-map	keeps-writable-alias-beyond-copy-window	reject
M07	mapping	transient-MEMREMAP_WB-full-copy	ordinary-memory-semantics-and-immediate-unmap	select
M08	mapping	direct-physical-parse	parser-lifetime-coupled-to-writable-mapping	reject
M09	publication	one-typed-immutable-raw-snapshot	no-raw-export-and-no-classifier	select
W01	writer-order	pinned-LK	mutations-complete-before-Linux-handoff	compatible-with-post-handoff-copy
W02	writer-order	current-mainline-through-0304	no-physical-reader-or-writer	probe-order-sufficient
W03	writer-order	pinned-vendor-Linux	copies-then-mutates-at-console-initcall	pattern-only-future-conflict-must-be-ordered
E01	secure-epoch	ram-console-status	reset-history-not-loader-attestation	reject-as-authority
E02	secure-epoch	raw-TOPRGU-status	reset-history-not-loader-attestation	reject-as-authority
E03	secure-epoch	LK-boot-reason-or-completion	boot-path-not-private-replay-initialization	reject-as-authority
E04	secure-epoch	combined-reset-history	correlated-inputs-do-not-create-independent-proof	reject-combiner
E05	secure-epoch	manual-cold-looking-boot-report	not-machine-attested-current-secure-image-load	reject-as-production-authority
E06	secure-epoch	pinned-loader-or-secure-attestation	unavailable	unresolved
