id	capability	early_a53_state	late_a72_state	detection_basis	required_side_effect	acceptance	failure
K01	ARM64_SPECTRE_BHB	absent; Cortex-A53 safe	present; Cortex-A72 affected with loop k=8	deterministic MIDR tables	Finalize max_bhb_k=8 or stronger exact local mitigation; prepare system_bhb_mitigations vectors and alternatives before apply_alternatives_all.	Boot-time assertion and late target verification agree on the exact mitigation and parameter.	Keep A26 veto; never mark late-permitted or enable after finalization.
K02	ARM64_WORKAROUND_1742098	absent	present for every Cortex-A72 revision	deterministic MIDR table	Set the system capability before user feature publication and clear COMPAT_HWCAP2_AES.	Boot-time capability and compat-HWCAP assertions pass before P17/P18.	Keep A26 veto; Kconfig-only enablement is insufficient.
K03	ARM64_WORKAROUND_SPECULATIVE_AT	absent	present for every Cortex-A72 revision under ERRATUM_1319367	deterministic MIDR table	Set and enable the system capability before alternatives finalization even though selected KVM code is absent.	Boot-time capability assertion and late target verification pass before P17/P18.	Keep A26 veto; selected callsite absence does not waive capability verification.
K04	ARM64_SPECTRE_V2	A53 safelisted	firmware-dependent unless SMCCC reports UNAFFECTED	MIDR plus SMCCC workaround-1 response	Conservatively prepare the exact mitigation path and record the firmware result before finalization.	Exact boot-time firmware result and late target match cannot introduce a new local capability.	Keep A26 veto on missing or ambiguous firmware proof.
K05	ARM64_SPECTRE_V4	A53 safelisted	firmware-dependent unless SMCCC reports UNAFFECTED or NOT_REQUIRED	MIDR feature plus SMCCC workaround-2 response	Conservatively prepare the exact mitigation path and record the firmware result before finalization.	Exact boot-time firmware result and late target match cannot introduce a new local capability.	Keep A26 veto on missing or ambiguous firmware proof.
K06	ARM64_MISMATCHED_CACHE_TYPE	boot aggregate unresolved	late target unresolved	raw and effective CTR_EL0 comparison	Compare exact A72 raw and effective cache type against the finalized A53 system value before declaring the inventory complete.	Recorded register comparison proves no unaccounted late local erratum.	Keep A26 veto while unresolved.
K07	ARM64_SPECTRE_V3A	compiled out	compiled out	CONFIG_RANDOMIZE_BASE=n	None in this exact profile; treat configuration change as inventory invalidation.	Validator rejects RANDOMIZE_BASE=y without a new audited row.	Keep A26 veto after configuration drift.
K08	ASID width	boot log lineage reports 16-bit and 65536 ASIDs	unproven	verify_cpu_asid_bits before local capability verification	Prove A72 ASID width is not smaller than the boot aggregate.	Exact architectural or owner-safe register proof is pinned before CPU_ON.	CPU_PANIC_KERNEL branch P30P on mismatch.
K09	4-KiB granule	selected	architecturally expected but proof not yet frozen	pre-C ID_AA64MMFR0_EL1 granule check	Freeze exact A72 support proof for selected PAGE_SIZE.	Proof is revision-scoped and included in A36/P17/P18 attestation.	Reasoned STUCK branch P30E on mismatch.
K10	52-bit VA mode	compiled; actual boot selection unresolved	A72 support unresolved	boot alternative state plus ID registers	Attest the actual finalized VA mode and target compatibility; do not equate VA_BITS_52=y with active 52-bit VA.	Exact boot mode and target support proof are pinned before CPU_ON.	Reasoned STUCK branch P30E when active and unsupported.
K11	finalization ordering	A53-only boot set finalizes system capabilities	late A72 verifies rather than updates	cpufeature setup and check_local_cpu_capabilities ordering	Complete every capability-specific update before setup_system_capabilities apply_alternatives_all and setup_user_features.	No post-finalization bit mutation; A36 P17 and P18 attest the same frozen set.	Any late mutation or raw bit-only shortcut fails A41.
K12	strict boot capabilities and ELF HWCAP	boot aggregate selected from Cortex-A53	late target compatibility not fully frozen	strict capability and AArch64 plus compat HWCAP verifier callsites	Prove exact GICv3 CPU-interface usability and every advertised AArch64 and compat HWCAP on Cortex-A72; retain dynamically absent A53-finalized SVE SME MPAM pointer-auth MTE BTI and RAS reasoning separately from configuration-excluded KVM and pseudo-NMI.	Every non-local-capability cpu_die_early and cpu_panic_kernel callsite is either proved compatible dynamically absent under exact finalized state or configuration-excluded.	P30P or P30K/C remains reachable while any strict capability or HWCAP proof is open.
K13	A41 aggregate	early set exactly CPU0-7 Cortex-A53	targets exactly CPU8-9 Cortex-A72	exact source plus selected configuration	Enumerate every compiled false-on-A53 true-on-A72 local capability and perform all enable fixup parameter alternative vector and HWCAP effects before finalization; separately close strict and HWCAP checks.	K01-K12 closed; boot-time assertions pass; late verification has no known conflict.	A26 remains all-applicable; no CPU_ON patch build candidate or device action.
