id	phase_from	event	phase_to	token_rule	members_rule	provider_rule	allowed_effect	failure_route
P01	IDLE	begin-cpu8-up-after-entry-validation	FROZEN	P31-same-request-cpu8-up-attempt=consumed;allocate-exact-owner-operation-cpu8-up-target-cpu8-generation-after-A28-pass;cpuhp-target=CPUHP_ONLINE;target-mpidr=owner-validated-cpu_logical_map(cpu8)=0x200-same-generation;cpu-on-entry=exact-physical-__pa_symbol(secondary_entry);cpu8-preparation-attempt=one-unconsumed;cpu-on-attempt=one-unconsumed;provider-acquire-attempt=one-unconsumed;affinity-budget=none;provider-release-attempt=none	members=0x0-no-write;A28-exact-cpu8-cpu9-offline-cpuhp-and-target-present-possible-proven	provider=NONE	freeze-admission-only-no-hardware-write	REJECTED-before-hardware;A38-attempt-remains-consumed
P02	IDLE	begin-cpu9-up-after-entry-validation	FROZEN	P31-same-request-cpu9-up-attempt=consumed-before-remaining-A28-prestate-checks;allocate-exact-owner-operation-cpu9-up-target-cpu9-generation-after-A28-pass;cpuhp-target=CPUHP_ONLINE;target-mpidr=owner-validated-cpu_logical_map(cpu9)=0x201-same-generation;cpu-on-entry=exact-physical-__pa_symbol(secondary_entry);cpu-on-attempt=one-unconsumed;provider-acquire-attempt=none;affinity-budget=none;provider-release-attempt=none	members=0x1-no-write;A28-cpu8-online-cpu9-offline-cpuhp-and-target-present-possible-proven	provider=HELD-with-durable-reference-id-from-M01	freeze-admission-only-no-hardware-write	REJECTED-before-hardware;A38-attempt-remains-consumed
P03	IDLE	begin-cpu9-off-after-entry-validation	FROZEN	P31-same-request-cpu9-off-attempt=consumed;allocate-exact-owner-operation-cpu9-off-target-cpu9-generation-after-A28-pass;cpuhp-target=CPUHP_OFFLINE;entry-snapshot-private-branch-attestation=pending;A31-private-entry-big_on=0x3-proof-required-before-A01;target-mpidr=owner-validated-cpu_logical_map(cpu9)=0x201-same-generation;cpu-on-attempt=none;provider-acquire-attempt=none;affinity-budget=one-unconsumed-level-0;provider-release-attempt=none	members=0x3-no-write;A28-exact-cpu8-cpu9-online-cpuhp-proven	provider=HELD-with-durable-reference-id-from-M01	freeze-policy-and-suspend-only-no-hardware-write	REJECTED-before-cpu-off;A38-attempt-remains-consumed
P04	IDLE	begin-last-cpu8-off-after-entry-validation	FROZEN	P31-same-request-last-cpu8-off-attempt=consumed;allocate-exact-owner-operation-last-cpu8-off-target-cpu8-generation-after-A28-pass;cpuhp-target=CPUHP_OFFLINE;entry-snapshot-private-branch-attestation=pending;A31-private-entry-big_on=0x1-proof-required-before-A01;target-mpidr=owner-validated-cpu_logical_map(cpu8)=0x200-same-generation;cpu-on-attempt=none;provider-acquire-attempt=none;affinity-budget=one-unconsumed-level-0;provider-release-attempt=one-unconsumed	members=0x1-no-write;A28-cpu8-online-cpu9-offline-cpuhp-proven	provider=HELD-with-durable-reference-id-from-M01	freeze-policy-and-suspend-only-no-hardware-write	REJECTED-before-cpu-off;A38-attempt-remains-consumed
P05	FROZEN	strict-pre-effect-reject	REJECTED	preserve-exact-owner-operation-target-generation-and-mark-rejected;A32-no-cpuhp-provider-or-hardware-effect=pass	members=entry-no-write	provider=entry-no-write	record-proven-no-effect-rejection-only	consume-rejection-with-single-freeze-release;any-executed-or-uncertain-effect-enters-P23-FAULT
P06	REJECTED	consume-rejection	CONSUMED	exact-owner-operation-target-generation;generation-consumed-never-reused;A38-operation-attempt-remains-consumed-until-A34-reset	members=entry-no-write	provider=entry-no-write	release-transaction-owned-freeze-once;record-token-consumed	new-generation-may-select-only-different-available-operation
P07	FROZEN	target-atomically-publish-off-committed-then-enter-cpu-off	OFF_COMMITTED	exact-owner-operation-target-generation;off-operation;cpuhp-target=CPUHP_OFFLINE;exact-target-only;target-side-owner;P26-entry-snapshot-private-branch-attestation=pass	members=entry-conservative-no-write	provider=HELD-no-release	publish-OFF_COMMITTED-immediately-before-exact-target-CPU_OFF-smc-entry;no-software-commit	if-phase-CAS-lost-to-FAULT-do-not-issue-CPU_OFF;target-CPU_OFF-return-through-P25;otherwise-P22-or-P12-reset-only
P08	QUERY_INFLIGHT	single-target-active-affinity-info-returned-off	OFF_PROVEN	exact-owner-operation-target-generation;off-operation;exact-target-only;target-mpidr=owner-validated-same-transaction-cpu_logical_map(target);affinity-level=0;query-budget=consumed-before-call;return=OFF	members=entry-conservative-no-write	provider=HELD-no-release	record-returned-OFF-only-no-new-affinity-query	FAULT-reset-only-on-later-mismatch-or-timeout
P09	OFF_PROVEN	start-independent-verification	VERIFYING	exact-owner-operation-target-generation;off-operation;no-affinity-query-remains	members=entry-conservative-no-write	provider=HELD-until-last-release-gate	independent-callback-and-resource-readbacks-only	FAULT-reset-only-on-mismatch-or-timeout
P10	VERIFYING	commit-proven-membership	CONSUMED	exact-owner-operation-target-generation;operation-selects-exact-M01-M02-M03-or-M04;A33-final-requested-cpuhp-state-and-online-mask-same-generation-after-all-callbacks-generic-result-and-rollback-window=pass;generation-consumed-never-reused	members=exact-membership-table-edge	provider=exact-provider-table-state	atomic-software-ledger-commit-after-all-same-generation-proofs-and-release-transaction-owned-freeze-once	FAULT-reset-only-before-commit-on-any-mismatch-or-A30-divergence
P11	CONSUMED	return-to-idle-for-distinct-available-operation	IDLE	exact-owner-operation-target-generation-consumed;old-generation-invalid;A38-exact-operation-attempt-remains-consumed;new-generation-required	members=committed-no-write	provider=committed-no-write	scalar-phase-cleanup-only;freeze-already-released	reject-stale-token-or-reused-operation-until-A34-reset
P12	QUERY_INFLIGHT|OFF_PROVEN|VERIFYING	returned-nonoff-error-or-post-query-failure	FAULT	exact-owner-operation-target-generation;off-operation;token-faulted;query-budget=consumed-before-call;retry=forbidden;nonreturn-not-an-executed-edge	members=entry-conservative-no-write	provider=retain-or-FAULT_UNKNOWN	retain-all-shared-state-still-present;no-runtime-inverse	reset-only
P13	IDLE|FROZEN|ON_ISSUED|OFF_COMMITTED|QUERY_INFLIGHT|OFF_PROVEN|VERIFYING|REJECTED|FAULT|CONSUMED	known-good-platform-or-external-reset-and-A34-bootstrap	IDLE	exact-owner-operation-target-generation-live-or-terminal-or-no-token-with-P31-attempt-consumed;generation-discarded-by-platform-or-external-reset-only;A34-exact-zero-state-topology-mapping-bootstrap-and-operation-attempt-reinitialization=pass	members=0x0-from-exact-cpu8-cpu9-offline-cpuhp-present-possible-restored-nonaliased-mpidr-0x200-0x201-and-private-replay-zero-proof	provider=NONE-with-no-durable-reference-identity	known-good-platform-or-external-reset-plus-A34-bootstrap-only-not-runtime-or-ordinary-linux-reboot-clear	reinitialize-A38-operation-attempt-ledger-only-here-including-IDLE-with-consumed-P31-attempt;any-present-possible-or-mapping-mismatch-remains-terminal;no-live-transition-resume;reviewed-terminal-reset-and-bootstrap-mechanism-required
P14	ON_ISSUED	exact-cpu8-on-returned-success-and-secondary-completion	VERIFYING	exact-owner-operation-cpu8-up-target-cpu8-generation;target-mpidr=owner-validated-same-transaction-cpu_logical_map(cpu8);cpu-on-attempt=consumed-before-call;returned-success;same-cpu8-mpidr-secondary-completion;no-off-query-budget	members=0x0-conservative-no-write	provider=HELD-with-new-durable-reference-id-after-R02-proof	cpu8-psci-cpu-on-return-and-same-mpidr-secondary-completion-only	returned-failure-through-P16;nonreturn-remains-ON_ISSUED-platform-or-external-reset-only
P15	ON_ISSUED	exact-cpu9-on-returned-success-and-secondary-completion	VERIFYING	exact-owner-operation-cpu9-up-target-cpu9-generation;target-mpidr=owner-validated-same-transaction-cpu_logical_map(cpu9);cpu-on-attempt=consumed-before-call;returned-success;same-cpu9-mpidr-secondary-completion;no-off-query-budget	members=0x1-conservative-no-write	provider=HELD-with-durable-reference-id-from-M01-no-change	cpu9-psci-cpu-on-return-and-same-mpidr-secondary-completion-only	returned-failure-through-P16;nonreturn-remains-ON_ISSUED-platform-or-external-reset-only
P16	ON_ISSUED	up-path-returned-hardware-or-provider-uncertainty	FAULT	exact-owner-operation-target-generation;up-operation;returned-error-or-uncertainty;nonreturn-not-an-executed-edge;token-faulted;retry=forbidden	members=entry-conservative-no-write	provider=retain-or-FAULT_UNKNOWN	retain-all-shared-state-still-present;no-runtime-inverse	known-good-platform-or-external-reset-only
P17	FROZEN	publish-cpu8-up-authorization	ON_ISSUED	exact-owner-operation-cpu8-up-target-cpu8-generation;cpuhp-target=CPUHP_ONLINE;A36-cpu8-prestate-owner-and-call-shape-gate=pass;target-mpidr=owner-validated-same-transaction-cpu_logical_map(cpu8)=0x200;cpu-on-entry=exact-physical-__pa_symbol(secondary_entry);cpu8-preparation-attempt=one-unconsumed-from-P01;cpu-on-attempt=one-unconsumed-from-P01;provider-acquire-attempt=one-unconsumed-from-P01	members=0x0-conservative-no-write	provider=NONE-exact-before-first-effect	publish-ON_ISSUED-and-token-only-no-provider-or-hardware-effect	P21-only-after-R03-and-P29-exact-no-residual-rollback-before-CPU_ON;otherwise-P16-or-nonreturn-reset-only
P18	FROZEN	publish-cpu9-up-authorization	ON_ISSUED	exact-owner-operation-cpu9-up-target-cpu9-generation;cpuhp-target=CPUHP_ONLINE;A36-cpu9-prestate-owner-and-call-shape-gate=pass;target-mpidr=owner-validated-same-transaction-cpu_logical_map(cpu9)=0x201;cpu-on-entry=exact-physical-__pa_symbol(secondary_entry);cpu-on-attempt=one-unconsumed-from-P02	members=0x1-conservative-no-write	provider=HELD-with-durable-reference-id-from-M01-no-change	publish-ON_ISSUED-and-token-only-no-provider-or-hardware-effect	P16-on-returned-failure;nonreturn-reset-only;P05-only-before-P18
P19	VERIFYING	up-path-independent-proof-or-M02-post-full-bringup-proof-failure	FAULT	exact-owner-operation-target-generation;up-operation;A37-startup-auto-rollback-blocked-and-full-generic-bringup=pass;every-M02-post-full-bringup-callback-IPI-identity-online-accounting-hit-count-shared-resource-provider-A33-final-schedule-or-reschedule-failure-is-terminal;no-off-query-budget;retry=forbidden	members=entry-conservative-no-write	provider=HELD-unchanged-for-every-M02-post-full-bringup-failure-otherwise-retain-or-FAULT_UNKNOWN	retain-all-shared-state-still-present;no-runtime-inverse;P19-invalid-if-generic-auto-rollback-started;no-P10-before-all-M02-proofs-and-sample3	known-good-platform-or-external-reset-only
P20	OFF_COMMITTED	atomically-arm-single-target-affinity-query-before-call	QUERY_INFLIGHT	exact-owner-operation-target-generation;off-operation;exact-target-only;target-mpidr=owner-validated-same-transaction-cpu_logical_map(target);affinity-level=0;query-budget=one-unconsumed-from-P03-or-P04-to-consumed-before-call;A29-concurrency-or-entry-proof=pass;A40-private-branch-proof-fresh-through-query=pass	members=entry-conservative-no-write	provider=HELD-no-release	publish-QUERY_INFLIGHT-and-consume-budget-under-state-lock;release-lock-before-smc	nonreturn-remains-QUERY_INFLIGHT-platform-or-external-reset-only;no-retry-or-runtime-action
P21	ON_ISSUED	consume-R03-provider-rejection-after-exact-preisolation-rollback	REJECTED	exact-owner-operation-cpu8-up-target-cpu8-generation;provider-acquire-attempt=consumed-before-call;P29-preprovider-effects-rollback=no-residual-effect;CPU_ON=not-issued	members=0x0-no-write	provider=NONE-exact-after-R03-no-vote-no-rail-mutation	record-proven-no-residual-effect-provider-rejection-only	consume-through-P06;missing-R03-or-P29-proof-or-returned-uncertainty-through-P16-FAULT;nonreturn-stays-ACQUIRE_INFLIGHT-reset-only
P22	OFF_COMMITTED	post-off-commit-failure-before-query-arm	FAULT	exact-owner-operation-target-generation;off-operation;token-faulted;query-budget=unconsumed;retry=forbidden	members=entry-conservative-no-write	provider=retain-or-FAULT_UNKNOWN	retain-all-shared-state-still-present;no-affinity-query;no-runtime-inverse	known-good-platform-or-external-reset-only
P23	FROZEN	post-admission-pre-cpu-off-effect-or-synchronization-uncertainty	FAULT	exact-owner-operation-target-generation;off-operation;CPU_OFF=not-issued;query-budget=unconsumed;retry=forbidden;A32-clean-rollback-not-proven	members=entry-conservative-no-write	provider=HELD-no-release	retain-all-shared-state-still-present;no-affinity-query;target-must-fail-P07-phase-CAS-and-not-issue-CPU_OFF	known-good-platform-or-external-reset-only
P24	ON_ISSUED	atomically-consume-exact-cpu-on-attempt-before-call	ON_ISSUED	exact-owner-operation-target-generation;up-operation;cpuhp-target=CPUHP_ONLINE;exact-target-only;cpu8-requires-P28-postprovider-preparation=complete-or-cpu9-requires-A36-cluster-reuse-gate=pass;target-mpidr=owner-validated-same-transaction-cpu_logical_map(target)=cpu8-0x200-or-cpu9-0x201;cpu-on-entry=exact-physical-__pa_symbol(secondary_entry);cpu-on-attempt=one-to-consumed-before-call	members=entry-conservative-no-write	provider=HELD	publish-consumed-cpu-on-attempt-under-state-lock;release-lock-before-PSCI;issue-two-argument-psci_ops.cpu_on-only-with-exact-target-MPIDR-and-entry	returned-result-through-P14-P15-or-P16;missing-preparation-wrong-MPIDR-entry-or-cpuhp-target-through-P16;nonreturn-remains-ON_ISSUED-platform-or-external-reset-only;retry=forbidden
P25	OFF_COMMITTED|QUERY_INFLIGHT|OFF_PROVEN|VERIFYING	target-cpu-off-call-unexpectedly-returned	FAULT	exact-owner-operation-target-generation;off-operation;exact-target-only;CPU_OFF-returned;query-budget=unconsumed-or-consumed-by-current-phase;retry=forbidden	members=entry-conservative-no-write	provider=retain-or-FAULT_UNKNOWN	atomically-record-target-return-and-retain-all-shared-state;no-runtime-inverse	known-good-platform-or-external-reset-only;P08-success-cannot-override-return-FAULT
P26	FROZEN	publish-safe-off-entry-snapshot-and-private-branch-attestation	FROZEN	exact-owner-operation-target-generation;off-operation;cpuhp-target=CPUHP_OFFLINE;entry-snapshot-private-branch-attestation=pending-to-pass;A31-same-generation-C02-or-L02-and-private-big_on-proof=pass;A40-private-writer-exclusion-or-serialized-revalidation-strategy=armed	members=entry-no-write	provider=HELD-with-durable-reference-id-no-change	publish-attestation-only-no-cpuhp-provider-or-hardware-effect	P05-on-clean-missing-proof-before-hotplug;P23-on-any-effect-or-uncertainty
