id	option	selected_value	reachability	closure_effect
C01	CONFIG_SMP	y	Secondary CPU startup and CPUHP paths are compiled.	Required base condition.
C02	CONFIG_HOTPLUG_CPU	y	can_rollback_cpu is unconditionally true and arm64 teardown is compiled.	P32 automatic rollback is reachable after CPU_ON.
C03	CONFIG_HOTPLUG_CORE_SYNC	y	Controller waits for AP lifecycle state.	Inventory synchronization warnings and continuation.
C04	CONFIG_HOTPLUG_CORE_SYNC_DEAD	y	Controller dead cleanup reaches arch cpu_kill.	P30 and P32 kill guards remain required.
C05	CONFIG_PADATA	y	Dynamic padata online and offline callbacks are registered.	ENOMEM makes the callback set fallible.
C06	CONFIG_LEDS_TRIGGER_CPU	y	A dynamic CPU LED callback is registered.	Selected callback returns zero.
C07	CONFIG_ARM_ARCH_TIMER	y	Timer STARTING callbacks are registered.	Selected STARTING callbacks are atomic no-fail.
C08	CONFIG_ARM64_ERRATUM_1742098	y	Cortex-A72 matches a local erratum absent on Cortex-A53.	A41 must pre-account it and suppress compat AES.
C09	CONFIG_ARM64_WORKAROUND_SPECULATIVE_AT	y	The speculative-AT capability table is compiled.	A41 must pre-account the selected A72 match.
C10	CONFIG_ARM64_ERRATUM_1319367	y	All Cortex-A72 revisions enter the speculative-AT match list.	A41 deterministic required capability.
C11	CONFIG_ARM64_4K_PAGES	y	Pre-C granule validation uses 4 KiB.	Exact A72 architectural support proof remains required.
C12	CONFIG_ARM64_VA_BITS_52	y	52-bit VA support code is compiled.	A41 must attest whether boot alternatives actually selected 52-bit VA.
C13	CONFIG_ARM64_LPA2	y	52-bit VA may use LPA2 when supported.	Do not infer the runtime VA mode from Kconfig alone.
C14	CONFIG_UNMAP_KERNEL_AT_EL0	y	KPTI capability and alternatives participate in finalization.	Retain full local-capability inventory rather than only three known conflicts.
C15	CONFIG_MITIGATE_SPECTRE_BRANCH_HISTORY	y	BHB mitigation implementation is enabled.	A41 must finalize A72 k=8 and vector/alternative state early.
