id	kind	boundary	owner	required_context	rule	ordering	lock_rule	evidence	failure	implementation_state
A01	admission	base-v7.1.3-public-cpu_down-entry	linux-a72-transition-coordinator	cpu=8-or-9;phase=FROZEN;exact-owner-operation-target-generation;operation=cpu9-off-or-last-cpu8-off;cpuhp-target=CPUHP_OFFLINE;P26-entry-snapshot-private-branch-attestation=pass;tasks_frozen=not-applicable	allow-only-exact-operation-target-CPUHP_OFFLINE-token;deny-every-other-caller-and-intermediate-cpuhp-target	before-cpu_maps_update_begin	a72_transition_lock-held;temporary-entry-snapshot-locks-released;state-lock-short-and-released	exact-token-snapshot-operation-target-CPUHP_OFFLINE-and-P26-match	return-EPERM;no-cpuhp-callback;no-hardware-write	contract-only-blocked
A02	admission	base-v7.1.3-early-_cpu_down-entry	linux-a72-transition-coordinator	cpu=8-or-9;phase=FROZEN;exact-owner-operation-target-generation;operation=cpu9-off-or-last-cpu8-off;cpuhp-target=CPUHP_OFFLINE;P26-entry-snapshot-private-branch-attestation=pass;tasks_frozen=0	revalidate-exact-operation-target-CPUHP_OFFLINE-token-and-P26-attestation;deny-tasks_frozen-not-zero-and-intermediate-cpuhp-target	before-cpus_write_lock-cpuhp_set_state-and-all-cpuhp-callbacks	a72_transition_lock-held;state-lock-short-and-released	exact-token-snapshot-operation-target-CPUHP_OFFLINE-and-P26-match;tasks_frozen=0	return-EPERM;no-cpuhp-callback;no-hardware-write	contract-only-blocked
A03	admission	base-v7.1.3-direct-suspend-_cpu_down	linux-pm-core	cpu=8-or-9;tasks_frozen=1;caller-may-hold-cpu_add_remove_lock	always-deny-a72-direct-suspend-cpu-down-using-leaf-state-snapshot;never-acquire-a72_transition_lock	at-earliest-_cpu_down-entry-before-cpus_write_lock-cpuhp_set_state-and-cpuhp-callbacks	bounded-a72_state_lock-leaf-only;no-lock-order-inversion	tasks_frozen=1-and-a72-target	return-EPERM;no-cpuhp-callback;no-hardware-write	contract-only-blocked
A04	compatibility-admission	public-equivalent-gemian-priority-zero-pm-notifier	linux-a72-transition-coordinator	live-a72-token-or-members-nonzero-or-provider-not-NONE-or-phase-FAULT-or-suspend-already-active	veto-suspend-while-any-a72-state-owned;deny-transaction-begin-during-suspend	compatibility-priority-strictly-above-gemian-vendor-priority-zero-before-vendor-mutation	a72_transition_lock-orders-policy-freeze	separate-gemian-lane-priority-and-complete-notifier-inventory-proof;no-vendor-import	pre-hardware-REJECTED-or-existing-FAULT-retained;no-hardware-write	contract-only-blocked
A05	compatibility-requester	public-equivalent-gemian-hps-natural-hotplug-request	mediatek-hps-evidence-lane	caller-already-holds-hps_ctxt.lock;exact-owner-operation-target-generation-attached	must-not-reacquire-hps_ctxt.lock;call-public-cpu_up-or-cpu_down-only;no-vendor-import	M01-or-M02-commit-before-HPS-increment;M03-or-M04-commit-before-HPS-decrement;same-operation-and-generation-required	hps_ctxt.lock->a72_transition_lock	exact-generic-return-associated-with-same-consumed-operation-and-generation	no-HPS-accounting-on-generic-return-alone-wrong-generation-REJECTED-or-FAULT	contract-only-blocked
A06	compatibility-requester	public-equivalent-gemian-hps-parameter-update	mediatek-hps-evidence-lane	hps_ctxt.lock-and-a72_transition_lock-held	optional-short-parameter-sibling-branch;release-para_lock-before-public-cpu_up-or-cpu_down;no-vendor-import	not-held-into-cpu_add_remove_lock-cpu_hotplug.lock-cpufreq_mutex-or-dvfs_lock	hps_ctxt.lock->a72_transition_lock->hps_ctxt.para_lock-then-release	separate-gemian-lane-lockdep-and-source-order-proof	pre-hardware-REJECTED-on-order-violation	contract-only-blocked
A07	compatibility-notifier	public-equivalent-gemian-cpuhvfs-hotplug-notifiers	mediatek-cpuhvfs-evidence-lane	exact-owner-operation-target-generation;every-admitted-a72-up-down-and-CPU_DOWN_FAILED-action	validate-token-before-cpufreq_mutex;all-CPUHVFS-actions-no-op;skip-cluster-off-and-cluster-on-hardware-writes;no-vendor-import	inside-legacy-hotplug-after-cpu_hotplug.lock-before-cpufreq_mutex-and-dvfs_lock	hps_ctxt.lock->a72_transition_lock->cpu_add_remove_lock->cpu_hotplug.lock->cpufreq_mutex->dvfs_lock	separate-gemian-lane-token-match;B-and-CCI-frequency-index-ARMPLL-PBM-and-cluster-power-write-sets=empty	pre-hardware-REJECTED-on-mismatch;CPU_DOWN_FAILED-remains-no-op;no-shared-write	contract-only-blocked
A08	notifier	complete-base-v7.1.3-cpuhp-teardown-callback-inventory	linux-hotplug-and-registered-cpuhp-callbacks	exact-operation-token;all-callbacks-before-and-after-CPUHP_TEARDOWN_CPU-inventoried	admit-only-when-every-side-effect-owner-and-branch-is-exact;CPUHP_BP_PREPARE_DYN-is-after-takedown_cpu-on-down-and-too-late-for-admission	before-target-cpu-off-and-through-controller-cleanup	canonical-v7.1.3-lock-order-preserved	complete-active-kernel-cpuhp-inventory-both-sides-of-CPUHP_TEARDOWN_CPU;archived-0093-callback-rejected	pre-hardware-REJECTED-on-any-unknown-owner;post-off-unknown-enters-FAULT	contract-only-blocked
A09	query	mt6797-specific-parent-cpu-kill-affinity-info	linux-a72-transition-coordinator	phase=OFF_COMMITTED;exact-owner-operation-target-generation;exact-target;target-mpidr=owner-validated-same-transaction-cpu_logical_map(target);affinity-level=0;query-budget=one-unconsumed-from-P03-or-P04;A29-concurrency-or-entry-discriminator-proof=pass;A31-private-big_on=0x3-for-cpu9-off-or-0x1-for-last-cpu8-off-owner-safe-proof;A40-private-branch-proof-fresh-through-query=pass	atomically-enter-P20-QUERY_INFLIGHT-and-consume-query-budget-before-call;issue-one-level-0-active-affinity-info-for-exact-owner-validated-target-MPIDR-only;forbid-aliased-different-MPIDR-or-other-level;outer-timer-does-not-bound-synchronous-smc;no-post-query-substitute-for-private-entry-proof;block-on-stale-or-uninventoried-private-writer	after-exact-target-side-OFF_COMMITTED-publication-A29-proof-A31-exact-branch-proof-and-A40-freshness-proof;may-race-before-target-CPU_OFF-smc-entry;before-independent-verification	no-state-lock-held-across-smc	target-MPIDR-level-0-result=OFF-from-single-returning-call-through-P08	post-commit-MPIDR-or-level-mismatch-or-private-freshness-uncertainty-enters-P22-FAULT;returned-nonoff-or-error-enters-P12-FAULT;nonreturn-remains-QUERY_INFLIGHT-platform-or-external-reset-only;generic-hotplug-success=forbidden	contract-only-blocked
A10	query	retained-cpu8-affinity-info	linux-a72-transition-coordinator	cpu8-retained-or-cpu8-is-not-exact-target	forbidden-retained-or-nontarget-query	never	no-lock-context-authorizes-call	independent-bounded-cpu8-callback-required-instead	phase=FAULT-if-attempted;reset-only	contract-only-blocked
