bit	symbol	owner	current_state	strongest_exact_repo_citations	what_it_proves	exact_remaining_gap	existing_evidence_can_close
0	ARM64_LATE_CPU_BLOCK_REGISTRATION	core	conditional; source-only registration guard exists but no current-planner runtime registration occurred	experiments/2026-08-05-a72-a41-canonical-planner/results/blockers.tsv:2; experiments/2026-08-05-a72-a41-canonical-planner/DESIGN.md:23-38; experiments/2026-08-05-a72-a41-canonical-planner/README.md:92-105	The exact source safety chain requires bounded CPU8/CPU9 registration, preserves fail-closed handling, and rejects mutations that expose a live path.	Bind exactly CPU8 and CPU9 as the two registered targets in a current, attributable planner boot and attest the bounded registration state before any CPU_ON path.	no; source validation alone cannot prove live registration
1	ARM64_LATE_CPU_BLOCK_TOPOLOGY	profile	conditional; exact topology is present in older runtime evidence and current source expectations, but not in a running planner image	experiments/2026-07-18-cortex-a53-sweep-diagnostic/results/runtime-candidate-o-attempt-1-20260718.txt:59-72; experiments/2026-07-18-cortex-a53-sweep-diagnostic/results/runtime-candidate-o-attempt-1-20260718.txt:230-244; patches/v7.1.3/0149-arm64-mediatek-register-blocked-MT6797-A72-profile.patch:149-198	An older attributable Linux 7.1.3 run mapped logical CPU8 and CPU9 to Cortex-A72 MPIDRs 0x200 and 0x201, while the current profile source checks the full ten-CPU topology.	Capture the same exact ten-CPU logical map, live DT identities, enable methods, online A53 set, offline A72 set, and two-target registration from the exact current planner image.	no; older live evidence plus current source expectations is not current running-image proof
2	ARM64_LATE_CPU_BLOCK_CONFIGURATION	profile	blocked; only ordered current inputs exist, not a resolved or running configuration	experiments/2026-08-05-a72-a41-canonical-planner/README.md:46-53; experiments/2026-07-24-mt6797-dvfsp-handoff-observer/results/runtime-candidate-an-attempt-2-20260724.txt:44-61; kernel/manifest.json:152-166	The selected planner profile and configuration-input identity are exact; an older attributable candidate also proves the project can capture a running config hash and live command line.	Produce the Buildbox-resolved current planner .config, bind its digest to the current image, and prove the running configuration and saved command line match it exactly.	no; the exact prior runtime configuration belongs to a different profile and patchset
3	ARM64_LATE_CPU_BLOCK_CAP_INVENTORY	core	blocked; ABI 3 returns UNRESOLVED for all 40 descriptors and records the exact census only as future evaluator input	patches/v7.1.3/0151-arm64-split-late-CPU-evidence-from-commit-receipt.patch; experiments/2026-08-05-a72-a41-immutable-plan/results/capability-census.tsv	The core still traverses every surviving canonical slot with bounded structure checks, while ABI 3 prevents the old three-row draft from being mistaken for a complete plan.	Implement and validate the exhaustive evaluator for exactly 40 compiled local descriptors: 4 source/profile-static PRESENT, 30 ABSENT, and 6 evidence-dependent, with no UNRESOLVED row or hidden descriptor ambiguity.	no; ABI 3 deliberately leaves every classifier result unresolved
4	ARM64_LATE_CPU_BLOCK_FIRMWARE_WA1	profile	blocked; PSCI over SMC is historically observed, but no exact workaround-1 feature response is recorded	experiments/2026-07-13-cpu-psci-timer-recovery/README.md:90-98; experiments/2026-07-24-mt6797-dvfsp-handoff-observer/results/runtime-candidate-an-attempt-2-20260724.txt:352-355; experiments/2026-08-05-a72-cpu-up-source-closure/results/capability-admission.tsv:5	The named device uses an SMC PSCI conduit with standard PSCI function IDs, and the source audit identifies Spectre-v2 as firmware-dependent for A72.	Record the exact same-boot SMCCC workaround-1 conduit and return value under the current firmware and image, then freeze the resulting mitigation policy for both targets.	no; PSCI conduit evidence is not a WA1 result
5	ARM64_LATE_CPU_BLOCK_FIRMWARE_WA2	profile	blocked; PSCI over SMC is historically observed, but no exact workaround-2 feature response or policy is recorded	experiments/2026-07-13-cpu-psci-timer-recovery/README.md:90-98; experiments/2026-08-05-a72-cpu-up-source-closure/results/capability-admission.tsv:6; experiments/2026-08-05-a72-a41-canonical-planner/results/blockers.tsv:7	The device conduit lineage is known and the source audit identifies Spectre-v4 as dependent on the exact SMCCC workaround-2 response.	Record the exact same-boot workaround-2 conduit and result, distinguish UNAFFECTED from NOT_REQUIRED correctly, and freeze the corresponding SSBS/mitigation policy for both targets.	no; no existing result contains a WA2 response
6	ARM64_LATE_CPU_BLOCK_ID_REGISTERS	profile	blocked; expected A72 identities and historical both-target execution exist, but no observed CPU8/CPU9 register image exists	patches/v7.1.3/0149-arm64-mediatek-register-blocked-MT6797-A72-profile.patch:218-221; experiments/2026-08-03-a72-scheduler-context/results/runtime-unpark-attempt-2-repeatability-pass-20260805.txt:70-97; experiments/2026-08-05-a72-a41-canonical-planner/results/blockers.tsv:8	Current source expects both targets to be Cortex-A72, and an exact historical vendor-derived artifact repeatably executed bounded work on both CPU8 and CPU9.	Capture observed MIDR_EL1, REVIDR_EL1, and the complete relevant ID-register image separately for CPU8 and CPU9, tied to the named device, current firmware, and current image identity.	no; source expectations and execution are not exact observed register proof
7	ARM64_LATE_CPU_BLOCK_CACHE_TYPE	profile	blocked; historical coherency passed but raw/effective cache-type registers remain unknown	experiments/2026-08-03-a72-scheduler-context/results/runtime-unpark-attempt-2-repeatability-pass-20260805.txt:70-77; experiments/2026-08-05-a72-cpu-up-source-closure/results/capability-admission.tsv:7; experiments/2026-08-05-a72-a41-canonical-planner/results/blockers.tsv:9	Both A72 targets completed bounded coherency, multi-cacheline, and parallel workloads in the historical vendor-derived experiment.	Capture each target's raw CTR_EL0, Linux-effective CTR value, and CLIDR_EL1, then compare them exactly with the frozen A53 system values under the current image.	no; workload coherency does not establish raw or effective register equality
8	ARM64_LATE_CPU_BLOCK_ASID	profile	blocked; the A53 boot aggregate used 65536 ASIDs, but target width is unobserved	experiments/2026-07-24-mt6797-dvfsp-handoff-observer/results/runtime-candidate-an-attempt-2-20260724.txt:45-53; experiments/2026-07-24-mt6797-dvfsp-handoff-observer/results/runtime-candidate-an-attempt-2-20260724.txt:667-669; experiments/2026-08-05-a72-cpu-up-source-closure/results/capability-admission.tsv:9	An attributable Linux 7.1.3 A53-only boot initialized a 65536-entry allocator while CPU8 and CPU9 remained offline.	Prove separately that CPU8 and CPU9 advertise an ASID width no smaller than the frozen 16-bit allocator, using exact architectural or owner-safe pre-CPU_ON evidence.	no; the allocator log describes only the early A53 aggregate
9	ARM64_LATE_CPU_BLOCK_GRANULE	profile	blocked; 4 KiB pages are selected, but exact target support is not frozen	configs/gemini-handoff.fragment:55-62; experiments/2026-08-05-a72-cpu-up-source-closure/results/config-inventory.tsv:12; experiments/2026-08-05-a72-cpu-up-source-closure/results/capability-admission.tsv:10	The selected configuration lineage requires 4 KiB pages and the source audit identifies the exact pre-C architectural validation requirement.	Capture revision-scoped ID_AA64MMFR0_EL1 4 KiB granule support for both CPU8 and CPU9 and bind it to the immutable current A41 attestation.	no; Kconfig selection and architectural expectation do not prove both target register fields
