package	version	architecture	deb_sha256	archive_path
apt	3.0.3	arm64	9d88b95c6a6c9880b1bb40aebe7df3b34a0a160a9430d76fac496512a4cf69a6	pool/main/a/apt/apt_3.0.3_arm64.deb
base-files	13.8+deb13u6	arm64	5f5a571ec846d7db05d9f825f0388a37bc033267b33cbf85b4eaa838dffcc41b	pool/main/b/base-files/base-files_13.8+deb13u6_arm64.deb
base-passwd	3.6.7	arm64	c5755fd2cbf76961a1230e708b6bfc12c5400b57f3cd8a255675e9aa11d85848	pool/main/b/base-passwd/base-passwd_3.6.7_arm64.deb
bash	5.2.37-2+b9	arm64	f9b0e4eb4ae81b3934a3211d755de26fa03881af3f159eb582437d3e8f55d9eb	pool/main/b/bash/bash_5.2.37-2+b9_arm64.deb
bsdutils	1:2.41.5-0+deb13u1	arm64	9afcc3e049a66d7f703d092f845c800b767fb9afe9e681e1483eec163aadcb18	pool/updates/main/u/util-linux/bsdutils_2.41.5-0+deb13u1_arm64.deb
ca-certificates	20250419	all	ef590f89563aa4b46c8260d49d1cea0fc1b181d19e8df3782694706adf05c184	pool/main/c/ca-certificates/ca-certificates_20250419_all.deb
coreutils	9.7-3	arm64	99b2531e8d16e4f2d3f239ae3cb57913ec1f43764d2d6cd5c69154cbb1e57f3e	pool/main/c/coreutils/coreutils_9.7-3_arm64.deb
cpio	2.15+dfsg-2	arm64	cbb9ecfc347a854e78d56b7ebeb1b58cdc4316de816132588c457a76ee823d96	pool/main/c/cpio/cpio_2.15+dfsg-2_arm64.deb
dash	0.5.12-12	arm64	ce4c8688a1a3ea510186ba95aba74d4c49863094e47e1effc0b602839e840c04	pool/main/d/dash/dash_0.5.12-12_arm64.deb
dbus	1.16.2-2	arm64	984e4c740ecd258e862eae9d0aed11ff75f83eff60b95ab27cb6c9a7dd0028c1	pool/main/d/dbus/dbus_1.16.2-2_arm64.deb
dbus-bin	1.16.2-2	arm64	4d8423744f34150c6f20959a868bed986fd0e39740a29c48f65c6da60fa2b328	pool/main/d/dbus/dbus-bin_1.16.2-2_arm64.deb
dbus-daemon	1.16.2-2	arm64	74650cdf706f6a782f9bb486237c210454a39ebf840e3260492e557013931739	pool/main/d/dbus/dbus-daemon_1.16.2-2_arm64.deb
dbus-session-bus-common	1.16.2-2	all	98bd27836c7170839ed9c84b00daad9ed7155bd3d42e3f0ec3faf497aafa5f5f	pool/main/d/dbus/dbus-session-bus-common_1.16.2-2_all.deb
dbus-system-bus-common	1.16.2-2	all	262e9ec8aae4e38bfa341648f9498b29280a81458601e1c265a36a24771d120a	pool/main/d/dbus/dbus-system-bus-common_1.16.2-2_all.deb
debconf	1.5.91	all	1ddc7e6c5925f748eefb7ca811d98e049f18c158bb21fbc7e122262ce6011e49	pool/main/d/debconf/debconf_1.5.91_all.deb
debian-archive-keyring	2025.1	all	9ea7778e443144ca490668737a8ab22dd3e748bb99e805e22ec055abeb3c7fac	pool/main/d/debian-archive-keyring/debian-archive-keyring_2025.1_all.deb
debianutils	5.23.2	arm64	662d59d9cd0d46f0250ddcd997353be915fbc6be692d7c676c73dc33c90715e8	pool/main/d/debianutils/debianutils_5.23.2_arm64.deb
diffutils	1:3.10-4	arm64	85cfb5576fa43ba2bd2047c53140fb465b929753048e53eb0fe6482ed343a5b9	pool/main/d/diffutils/diffutils_3.10-4_arm64.deb
dpkg	1.22.22	arm64	1142468e57f69e13d174f517dff739508c61ee97d81c182c120cd6b281d8cdfa	pool/main/d/dpkg/dpkg_1.22.22_arm64.deb
dracut-install	106-6	arm64	318f89cb1f08d843fea4f7aa290af6f1f6c9ecc9e88e2b2b29488cfa366bd1d3	pool/main/d/dracut/dracut-install_106-6_arm64.deb
findutils	4.10.0-3	arm64	c8b505ce907c293031095b3a237cb231967963b1d5aa8b1699aff45ccec3158a	pool/main/f/findutils/findutils_4.10.0-3_arm64.deb
gcc-14-base:arm64	14.2.0-19	arm64	34ee90679b018c0e64234747a4c4c0ae6b7f63541115037465a8627c2dfbc594	pool/main/g/gcc-14/gcc-14-base_14.2.0-19_arm64.deb
grep	3.11-4+b1	arm64	6f7257fbec0197bd54b2347861ff01e2c4e8411790b0df20242483615324fe66	pool/main/g/grep/grep_3.11-4+b1_arm64.deb
gzip	1.13-1	arm64	cd46c9482fd3b96d4ecf282b01185ef9341b0ffcd40816372141f73037ce2c36	pool/main/g/gzip/gzip_1.13-1_arm64.deb
