audit=gemini-kernel-config-gap
scope=vendor-enabled-vs-prepared-linux-7.1.3-and-local-fragment
interpretation=inventory_only;missing_vendor_options_require_contract_review
vendor_config=/mnt/gemini-pda-mainline/artifacts/device-inventory/20260712-live/vendor-kernel.config
mainline_config=/home/julien.guest/build/gemini-pda/linux-7.1.3/.config
fragment=/mnt/gemini-pda-mainline/configs/gemini.fragment
vendor_sha256=231d8a2ffe7afac3a4cc62c27d0eb6fe8bd9165ebd096e3e3346dd6df35c18f4
mainline_sha256=c11ddd57c1fc643202b15bcfac9564edbba61e42a0a08879369b52592ba31d7a
fragment_sha256=b50343be3b7c93ea9cc966ebb5dcf2ff95a556fde140c661c0ce86d57a93856d

[summary]
vendor_enabled=351
missing_from_mainline=233
built_in_module_delta=22
matched_enabled=96
fragment_requests=0
fragment_policy=1
reported_rows=352

[known_replacements]
vendor_option	mainline_option	vendor	mainline	rationale
CONFIG_MTK_WATCHDOG	CONFIG_MEDIATEK_WATCHDOG	y	y	generic MediaTek watchdog
CONFIG_MTK_WD_KICKER	CONFIG_MEDIATEK_WATCHDOG	y	y	vendor keepalive policy is not carried over
CONFIG_MTK_M4U	CONFIG_MTK_IOMMU	y	y	generation-two IOMMU framework
CONFIG_MTK_SMI_EXT	CONFIG_MTK_SMI	y	y	generic SMI framework plus SoC data
CONFIG_MTK_USBFSH	CONFIG_USB_MUSB_HDRC	y	y	MUSB core; MT6797 USB11 glue remains separate
CONFIG_MTK_PMIC_WRAP	CONFIG_MTK_PMIC_WRAP	y	y	generic PMIC-wrapper provider
CONFIG_MTK_CMDQ	CONFIG_MTK_CMDQ	y	y	generic CMDQ provider
CONFIG_MTK_RTC	CONFIG_RTC_DRV_MT6397	y	y	standard MT6351/MT6397 RTC driver

[rows]
option	vendor	mainline	fragment	relation
CONFIG_ACPI	unset	unset	n	fragment-policy
CONFIG_ARCH_BINFMT_ELF_RANDOMIZE_PIE	y	unset	unset	missing-from-mainline
CONFIG_ARCH_DMA_ADDR_T_64BIT	y	y	unset	matched-enabled
CONFIG_ARCH_HAS_ATOMIC64_DEC_IF_POSITIVE	y	unset	unset	missing-from-mainline
CONFIG_ARCH_HAS_CACHE_LINE_SIZE	y	y	unset	matched-enabled
CONFIG_ARCH_HAS_HOLES_MEMORYMODEL	y	unset	unset	missing-from-mainline
CONFIG_ARCH_HAS_SG_CHAIN	y	unset	unset	missing-from-mainline
CONFIG_ARCH_HAS_TICK_BROADCAST	y	y	unset	matched-enabled
CONFIG_ARCH_HIBERNATION_POSSIBLE	y	y	unset	matched-enabled
CONFIG_ARCH_MT6797	y	unset	unset	missing-from-mainline
CONFIG_ARCH_PHYS_ADDR_T_64BIT	y	unset	unset	missing-from-mainline
CONFIG_ARCH_SELECT_MEMORY_MODEL	y	unset	unset	missing-from-mainline
CONFIG_ARCH_SPARSEMEM_DEFAULT	y	unset	unset	missing-from-mainline
CONFIG_ARCH_SPARSEMEM_ENABLE	y	y	unset	matched-enabled
CONFIG_ARCH_SUPPORTS_ATOMIC_RMW	y	y	unset	matched-enabled
CONFIG_ARCH_SUSPEND_POSSIBLE	y	y	unset	matched-enabled
CONFIG_ARCH_USE_CMPXCHG_LOCKREF	y	y	unset	matched-enabled
CONFIG_ARCH_WANT_COMPAT_IPC_PARSE_VERSION	y	y	unset	matched-enabled
CONFIG_ARCH_WANT_FRAME_POINTERS	y	y	unset	matched-enabled
CONFIG_ARCH_WANT_GENERAL_HUGETLB	y	unset	unset	missing-from-mainline
CONFIG_ARCH_WANT_HUGE_PMD_SHARE	y	y	unset	matched-enabled
CONFIG_ARCH_WANT_OPTIONAL_GPIOLIB	y	unset	unset	missing-from-mainline
CONFIG_ARM_AMBA	y	y	unset	matched-enabled
CONFIG_ARM_ARCH_TIMER	y	y	unset	matched-enabled
CONFIG_ARM_ARCH_TIMER_EVTSTREAM	y	y	unset	matched-enabled
CONFIG_ARM_ARCH_TIMER_SUSPEND_NONSTOP	y	unset	unset	missing-from-mainline
CONFIG_ARM_GIC	y	y	unset	matched-enabled
CONFIG_ARM_GIC_V3	y	y	unset	matched-enabled
CONFIG_COMMON_CLK	y	y	unset	matched-enabled
CONFIG_COMMON_CLK_MEDIATEK	y	y	unset	matched-enabled
CONFIG_COMMON_CLK_MEDIATEK_V1	y	unset	unset	missing-from-mainline
CONFIG_COMMON_CLK_MT6797	y	y	unset	matched-enabled
CONFIG_COMMON_CLK_XGENE	y	y	unset	matched-enabled
CONFIG_CPU_FREQ	y	y	unset	matched-enabled
CONFIG_CPU_FREQ_DEFAULT_GOV_INTERACTIVE	y	unset	unset	missing-from-mainline
CONFIG_CPU_FREQ_GOV_COMMON	y	y	unset	matched-enabled
CONFIG_CPU_FREQ_GOV_INTERACTIVE	y	unset	unset	missing-from-mainline
CONFIG_CPU_FREQ_GOV_ONDEMAND	y	y	unset	matched-enabled
CONFIG_CPU_FREQ_GOV_PERFORMANCE	y	y	unset	matched-enabled
CONFIG_CPU_FREQ_GOV_POWERSAVE	y	m	unset	built-in-module-delta
CONFIG_CPU_FREQ_GOV_USERSPACE	y	y	unset	matched-enabled
CONFIG_CPU_FREQ_STAT	y	y	unset	matched-enabled
CONFIG_CPU_FREQ_STAT_DETAILS	y	unset	unset	missing-from-mainline
CONFIG_FB	y	y	unset	matched-enabled
CONFIG_FB_CFB_COPYAREA	y	unset	unset	missing-from-mainline
CONFIG_FB_CFB_FILLRECT	y	unset	unset	missing-from-mainline
CONFIG_FB_CFB_IMAGEBLIT	y	unset	unset	missing-from-mainline
CONFIG_FB_CMDLINE	y	unset	unset	missing-from-mainline
CONFIG_FB_MODE_HELPERS	y	unset	unset	missing-from-mainline
CONFIG_FB_TILEBLITTING	y	n	unset	missing-from-mainline
CONFIG_I2C	y	y	unset	matched-enabled
CONFIG_I2C_BOARDINFO	y	y	unset	matched-enabled
CONFIG_I2C_COMPAT	y	unset	unset	missing-from-mainline
CONFIG_I2C_HELPER_AUTO	y	y	unset	matched-enabled
CONFIG_IKCONFIG	y	y	y	matched-enabled
CONFIG_IKCONFIG_PROC	y	y	y	matched-enabled
CONFIG_INPUT	y	y	unset	matched-enabled
CONFIG_INPUT_EVDEV	y	y	unset	matched-enabled
CONFIG_INPUT_KEYBOARD	y	y	unset	matched-enabled
CONFIG_INPUT_MISC	y	y	unset	matched-enabled
CONFIG_INPUT_TOUCHSCREEN	y	y	unset	matched-enabled
CONFIG_INPUT_UINPUT	y	n	unset	missing-from-mainline
CONFIG_IOMMU_HELPER	y	unset	unset	missing-from-mainline
CONFIG_IOMMU_SUPPORT	y	y	unset	matched-enabled
CONFIG_KEYBOARD_MTK	y	unset	unset	missing-from-mainline
CONFIG_MEDIATEK_SOLUTION	y	unset	unset	missing-from-mainline
CONFIG_MFD_SYSCON	y	y	unset	matched-enabled
CONFIG_MMC	y	y	unset	matched-enabled
CONFIG_MMC_BLOCK	y	y	unset	matched-enabled
CONFIG_MMC_BLOCK_BOUNCE	y	unset	unset	missing-from-mainline
CONFIG_MMC_BLOCK_IO_LOG	y	unset	unset	missing-from-mainline
CONFIG_MMC_MTK	y	y	unset	matched-enabled
CONFIG_MTK_AAL_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_ACCDET	y	unset	unset	missing-from-mainline
CONFIG_MTK_AEE_AED	y	unset	unset	missing-from-mainline
CONFIG_MTK_AEE_FEATURE	y	unset	unset	missing-from-mainline
CONFIG_MTK_AEE_IPANIC	y	unset	unset	missing-from-mainline
CONFIG_MTK_ATF_LOGGER	y	unset	unset	missing-from-mainline
CONFIG_MTK_AUXADC	y	unset	unset	missing-from-mainline
CONFIG_MTK_AW9120	y	unset	unset	missing-from-mainline
CONFIG_MTK_AW9523	y	unset	unset	missing-from-mainline
CONFIG_MTK_BASE_POWER	y	unset	unset	missing-from-mainline
CONFIG_MTK_BMI160_ACC	y	unset	unset	missing-from-mainline
CONFIG_MTK_BMI160_GYRO	y	unset	unset	missing-from-mainline
CONFIG_MTK_BMI160_STC	y	unset	unset	missing-from-mainline
CONFIG_MTK_BOOT	y	unset	unset	missing-from-mainline
CONFIG_MTK_BOOT_REASON	y	unset	unset	missing-from-mainline
CONFIG_MTK_BQ25896_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_BTCVSD_ALSA	y	unset	unset	missing-from-mainline
CONFIG_MTK_BTIF	y	unset	unset	missing-from-mainline
CONFIG_MTK_CACHE_DUMP	y	unset	unset	missing-from-mainline
CONFIG_MTK_CAM_CAL	y	unset	unset	missing-from-mainline
CONFIG_MTK_CCCI_DEVICES	y	unset	unset	missing-from-mainline
CONFIG_MTK_CHIP	y	unset	unset	missing-from-mainline
CONFIG_MTK_CMDQ	y	y	y	matched-enabled
CONFIG_MTK_COMBO	y	unset	unset	missing-from-mainline
CONFIG_MTK_COMBO_ANT	y	unset	unset	missing-from-mainline
CONFIG_MTK_COMBO_BT_HCI	y	unset	unset	missing-from-mainline
CONFIG_MTK_COMBO_CHIP_CONSYS_6797	y	unset	unset	missing-from-mainline
CONFIG_MTK_COMBO_GPS	y	unset	unset	missing-from-mainline
CONFIG_MTK_COMBO_WIFI	y	unset	unset	missing-from-mainline
CONFIG_MTK_COMPAT	y	unset	unset	missing-from-mainline
CONFIG_MTK_CONN_LTE_IDC_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_CONN_MD	y	unset	unset	missing-from-mainline
CONFIG_MTK_CPU_HOTPLUG_DEBUG_0	y	unset	unset	missing-from-mainline
CONFIG_MTK_CPU_HOTPLUG_DEBUG_2	y	unset	unset	missing-from-mainline
CONFIG_MTK_CPU_HOTPLUG_DEBUG_3	y	unset	unset	missing-from-mainline
CONFIG_MTK_CPU_TOPOLOGY	y	unset	unset	missing-from-mainline
CONFIG_MTK_DEBUG_LATCH	y	unset	unset	missing-from-mainline
CONFIG_MTK_DEVAPC_DRIVER	y	unset	unset	missing-from-mainline
CONFIG_MTK_DEVINFO_DRIVER	y	unset	unset	missing-from-mainline
CONFIG_MTK_DHCPV6C_WIFI	y	unset	unset	missing-from-mainline
CONFIG_MTK_DISABLE_PICACHU	y	unset	unset	missing-from-mainline
CONFIG_MTK_DRAMC	y	unset	unset	missing-from-mainline
CONFIG_MTK_DRAM_LOG_STORE	y	unset	unset	missing-from-mainline
CONFIG_MTK_ECCCI_C2K	y	unset	unset	missing-from-mainline
CONFIG_MTK_ECCCI_CLDMA	y	unset	unset	missing-from-mainline
CONFIG_MTK_ECCCI_DRIVER	y	unset	unset	missing-from-mainline
CONFIG_MTK_EIC	y	unset	unset	missing-from-mainline
CONFIG_MTK_EIC_HISTORY_DUMP	y	unset	unset	missing-from-mainline
CONFIG_MTK_EMI_BWL	y	unset	unset	missing-from-mainline
CONFIG_MTK_EMI_MBW	y	unset	unset	missing-from-mainline
CONFIG_MTK_EMI_MPU	y	unset	unset	missing-from-mainline
CONFIG_MTK_EMMC_CACHE	y	unset	unset	missing-from-mainline
CONFIG_MTK_EMMC_CQ_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_EMMC_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_EVB_BOARD	y	unset	unset	missing-from-mainline
CONFIG_MTK_FB	y	unset	unset	missing-from-mainline
CONFIG_MTK_FB_SUPPORT_ASSERTION_LAYER	y	unset	unset	missing-from-mainline
CONFIG_MTK_FLASHLIGHT	y	unset	unset	missing-from-mainline
CONFIG_MTK_FMRADIO	y	unset	unset	missing-from-mainline
CONFIG_MTK_FREQ_HOPPING	y	unset	unset	missing-from-mainline
CONFIG_MTK_GIC_EXT	y	unset	unset	missing-from-mainline
CONFIG_MTK_GIC_V3_EXT	y	unset	unset	missing-from-mainline
CONFIG_MTK_GPIO	y	unset	unset	missing-from-mainline
CONFIG_MTK_GPS	y	unset	unset	missing-from-mainline
CONFIG_MTK_GPS_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_GPT_SCHEME_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_GPUREGULATOR_INTF	y	unset	unset	missing-from-mainline
CONFIG_MTK_GPU_COMMON_DVFS_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_GPU_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_HAFG_20	y	unset	unset	missing-from-mainline
CONFIG_MTK_HALL	y	unset	unset	missing-from-mainline
CONFIG_MTK_HDMI_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_HWMON	y	unset	unset	missing-from-mainline
CONFIG_MTK_I2C	y	unset	unset	missing-from-mainline
CONFIG_MTK_I2C_ARBITRATION	y	unset	unset	missing-from-mainline
CONFIG_MTK_IMGSENSOR	y	unset	unset	missing-from-mainline
CONFIG_MTK_ION	y	unset	unset	missing-from-mainline
CONFIG_MTK_IRQ_NEW_DESIGN	y	unset	unset	missing-from-mainline
CONFIG_MTK_IRQ_NEW_DESIGN_DEBUG	y	unset	unset	missing-from-mainline
CONFIG_MTK_IRTX_PWM_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_IRTX_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_JPEG	y	unset	unset	missing-from-mainline
CONFIG_MTK_KERNEL_POWER_OFF_CHARGING	y	unset	unset	missing-from-mainline
CONFIG_MTK_LASTBUS	y	unset	unset	missing-from-mainline
CONFIG_MTK_LASTPC	y	unset	unset	missing-from-mainline
CONFIG_MTK_LCM	y	unset	unset	missing-from-mainline
CONFIG_MTK_LEDS	y	unset	unset	missing-from-mainline
CONFIG_MTK_LENS	y	unset	unset	missing-from-mainline
CONFIG_MTK_LENS_DUMMYLENS_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_LENS_DW9714AF_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_LM_MODE	y	unset	unset	missing-from-mainline
CONFIG_MTK_LSM6DS3A_NEW	y	unset	unset	missing-from-mainline
CONFIG_MTK_LSM6DS3G_NEW	y	unset	unset	missing-from-mainline
CONFIG_MTK_M4U	y	unset	unset	missing-from-mainline
CONFIG_MTK_MEM	y	unset	unset	missing-from-mainline
CONFIG_MTK_MJC_DRIVER	y	unset	unset	missing-from-mainline
CONFIG_MTK_MLOG	y	unset	unset	missing-from-mainline
CONFIG_MTK_MMPROFILE_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_MRDUMP_KEY	y	unset	unset	missing-from-mainline
CONFIG_MTK_MUSB_QMU_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_NET_CCMNI	y	unset	unset	missing-from-mainline
CONFIG_MTK_PASSPOINT_R1_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_PMIC	y	unset	unset	missing-from-mainline
CONFIG_MTK_PMIC_WRAP	y	y	unset	matched-enabled
CONFIG_MTK_POWER_GS	y	unset	unset	missing-from-mainline
CONFIG_MTK_PSCI	y	unset	unset	missing-from-mainline
CONFIG_MTK_PUMP_EXPRESS_PLUS_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_PWM	y	unset	unset	missing-from-mainline
CONFIG_MTK_RAM_CONSOLE	y	unset	unset	missing-from-mainline
CONFIG_MTK_RAM_CONSOLE_USING_SRAM	y	unset	unset	missing-from-mainline
CONFIG_MTK_RT9466_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_RTC	y	unset	unset	missing-from-mainline
CONFIG_MTK_SCHED_CMP	y	unset	unset	missing-from-mainline
CONFIG_MTK_SCHED_CMP_TGS	y	unset	unset	missing-from-mainline
CONFIG_MTK_SCHED_CMP_TGS_WAKEUP	y	unset	unset	missing-from-mainline
CONFIG_MTK_SCHED_RQAVG_KS	y	unset	unset	missing-from-mainline
CONFIG_MTK_SCHED_RQAVG_US	y	unset	unset	missing-from-mainline
CONFIG_MTK_SCHED_TRACERS	y	unset	unset	missing-from-mainline
CONFIG_MTK_SECURITY_SW_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_SEC_DEINT_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_SENSOR_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_SERIAL	y	unset	unset	missing-from-mainline
CONFIG_MTK_SERIAL_CONSOLE	y	unset	unset	missing-from-mainline
CONFIG_MTK_SHARED_SDCARD	y	unset	unset	missing-from-mainline
CONFIG_MTK_SIB_USB_SWITCH	y	unset	unset	missing-from-mainline
CONFIG_MTK_SMART_BATTERY	y	unset	unset	missing-from-mainline
CONFIG_MTK_SMI_EXT	y	unset	unset	missing-from-mainline
CONFIG_MTK_SPI	y	unset	unset	missing-from-mainline
CONFIG_MTK_STK3X1X_NEW	y	unset	unset	missing-from-mainline
CONFIG_MTK_SWITCH_INPUT_OUTPUT_CURRENT_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_SYNC	y	unset	unset	missing-from-mainline
CONFIG_MTK_SYSENV	y	unset	unset	missing-from-mainline
CONFIG_MTK_SYSTRACKER	y	unset	unset	missing-from-mainline
CONFIG_MTK_SYSTRACKER_V2	y	unset	unset	missing-from-mainline
CONFIG_MTK_SYS_CIRQ	y	unset	unset	missing-from-mainline
CONFIG_MTK_THERMAL_PA_VIA_ATCMD	y	unset	unset	missing-from-mainline
CONFIG_MTK_TINYSYS_SCP_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_TOGGLE_SWITCH	y	unset	unset	missing-from-mainline
CONFIG_MTK_UART_USB_SWITCH	y	unset	unset	missing-from-mainline
CONFIG_MTK_USB2JTAG_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_USBFSH	y	unset	unset	missing-from-mainline
CONFIG_MTK_VIBRATOR	y	unset	unset	missing-from-mainline
CONFIG_MTK_VIDEOCODEC_DRIVER	y	unset	unset	missing-from-mainline
CONFIG_MTK_VIDEOX	y	unset	unset	missing-from-mainline
CONFIG_MTK_VOW_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_WAPI_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_MTK_WATCHDOG	y	unset	unset	missing-from-mainline
CONFIG_MTK_WATCHPOINT	y	unset	unset	missing-from-mainline
CONFIG_MTK_WD_KICKER	y	unset	unset	missing-from-mainline
CONFIG_MTK_WIFI_MCC_SUPPORT	y	unset	unset	missing-from-mainline
CONFIG_NET_ACTIVITY_STATS	y	unset	unset	missing-from-mainline
CONFIG_NET_ACT_IPT	y	unset	unset	missing-from-mainline
CONFIG_NET_ACT_MIRRED	y	m	unset	built-in-module-delta
CONFIG_NET_ACT_POLICE	y	n	unset	missing-from-mainline
CONFIG_NET_CLS	y	y	unset	matched-enabled
CONFIG_NET_CLS_ACT	y	y	unset	matched-enabled
CONFIG_NET_CLS_FLOW	y	n	unset	missing-from-mainline
CONFIG_NET_CLS_FW	y	n	unset	missing-from-mainline
CONFIG_NET_CLS_IND	y	unset	unset	missing-from-mainline
CONFIG_NET_CLS_U32	y	n	unset	missing-from-mainline
CONFIG_NET_CORE	y	y	unset	matched-enabled
CONFIG_NET_FLOW_LIMIT	y	y	unset	matched-enabled
CONFIG_NET_IPIP	y	n	unset	missing-from-mainline
CONFIG_NET_IP_TUNNEL	y	m	unset	built-in-module-delta
CONFIG_NET_KEY	y	n	unset	missing-from-mainline
CONFIG_NET_NS	y	y	unset	matched-enabled
CONFIG_NET_RX_BUSY_POLL	y	y	unset	matched-enabled
CONFIG_NET_SCHED	y	y	unset	matched-enabled
CONFIG_NET_SCH_FIFO	y	y	unset	matched-enabled
CONFIG_NET_SCH_HTB	y	n	unset	missing-from-mainline
CONFIG_NET_SCH_INGRESS	y	m	unset	built-in-module-delta
CONFIG_PHYS_ADDR_T_64BIT	y	y	unset	matched-enabled
CONFIG_PINCTRL	y	y	unset	matched-enabled
CONFIG_PINCTRL_MT6797	y	y	y	matched-enabled
CONFIG_PINCTRL_MTK_COMMON	y	unset	unset	missing-from-mainline
CONFIG_PM	y	y	unset	matched-enabled
CONFIG_PM_AUTOSLEEP	y	n	unset	missing-from-mainline
CONFIG_PM_CLK	y	y	unset	matched-enabled
