slot	symbol	target0_state	target1_state	aggregate_state	required	basis
9	ARM64_HAS_AMU_EXTN	PRESENT	PRESENT	PRESENT	no	unconditional weak-local matcher; capability already present early
33	ARM64_HAS_GICV5_LEGACY	ABSENT	ABSENT	ABSENT	no	GCIE=0;legacy=0;ICC_SRE=0;gic_sre_usable=0
36	ARM64_HAS_ICH_HCR_EL2_TDIR	ABSENT	ABSENT	ABSENT	no	hyp_available=1;kernel_in_hyp=0;GIC unusable;ICH source NONE;value/status=0
47	ARM64_HAS_BBML2_NOABORT	ABSENT	ABSENT	ABSENT	no	source-owned allowlist is Cortex-A72-disjoint
66	ARM64_HW_DBM	PRESENT	PRESENT	PRESENT	no	unconditional weak-local matcher; capability already present early
69	ARM64_MISMATCHED_CACHE_TYPE	PRESENT	PRESENT	PRESENT	yes	raw=0x83338003;effective=0x93338003;system=0xb4448004;mask=0xffffffffffff3fff
79	ARM64_SPECTRE_V2	PRESENT	PRESENT	PRESENT	yes	CSV2=0;WA1=SMCCC_RET_SUCCESS;named status valid
81	ARM64_SPECTRE_V4	PRESENT	PRESENT	PRESENT	yes	SSBS=0;WA2=SMCCC_RET_SUCCESS;named status valid
82	ARM64_SPECTRE_BHB	PRESENT	PRESENT	PRESENT	yes	CSV2=0;ClearBHB=0;ECBHB=0;exact Cortex-A72 loop domain
85	ARM64_UNMAP_KERNEL_AT_EL0	ABSENT	ABSENT	ABSENT	no	Cortex-A72 is source-safe-listed under exact unforced KPTI policy
87	ARM64_WORKAROUND_843419	ABSENT	ABSENT	ABSENT	no	selected multi-entry members are Cortex-A72-disjoint
88	ARM64_WORKAROUND_845719	ABSENT	ABSENT	ABSENT	no	canonical range list is Cortex-A72-disjoint
89	ARM64_WORKAROUND_858921	ABSENT	ABSENT	ABSENT	no	Cortex-A73-only range
90	ARM64_WORKAROUND_1418040	ABSENT	ABSENT	ABSENT	no	canonical range list is Cortex-A72-disjoint
91	ARM64_WORKAROUND_1463225	ABSENT	ABSENT	ABSENT	no	custom A76/Kryo range is Cortex-A72-disjoint
92	ARM64_WORKAROUND_1508412	ABSENT	ABSENT	ABSENT	no	Cortex-A77-only range
94	ARM64_WORKAROUND_1742098	PRESENT	PRESENT	PRESENT	yes	broken_aarch32_aes contains all Cortex-A72 revisions
98	ARM64_WORKAROUND_2077057	ABSENT	ABSENT	ABSENT	no	Cortex-A510-only range
99	ARM64_WORKAROUND_2457168	ABSENT	ABSENT	ABSENT	no	Cortex-A510-only range
100	ARM64_WORKAROUND_2645198	ABSENT	ABSENT	ABSENT	no	Cortex-A715-only range
101	ARM64_WORKAROUND_2658417	ABSENT	ABSENT	ABSENT	no	Cortex-A510-only range
102	ARM64_WORKAROUND_4193714	ABSENT	ABSENT	ABSENT	no	custom C1-Pro range is Cortex-A72-disjoint
104	ARM64_WORKAROUND_AMPERE_AC03_CPU_38	ABSENT	ABSENT	ABSENT	no	Ampere-only range list
105	ARM64_WORKAROUND_AMPERE_AC04_CPU_23	ABSENT	ABSENT	ABSENT	no	Ampere-only range list
107	ARM64_WORKAROUND_TSB_FLUSH_FAILURE	ABSENT	ABSENT	ABSENT	no	canonical range list is Cortex-A72-disjoint
109	ARM64_WORKAROUND_CAVIUM_23154	ABSENT	ABSENT	ABSENT	no	Cavium/Octeon-only range list
110	ARM64_WORKAROUND_CAVIUM_27456	ABSENT	ABSENT	ABSENT	no	ThunderX-only range list
111	ARM64_WORKAROUND_CAVIUM_30115	ABSENT	ABSENT	ABSENT	no	ThunderX-only range list
112	ARM64_WORKAROUND_CAVIUM_TX2_219_PRFM	ABSENT	ABSENT	ABSENT	no	Vulcan/ThunderX2-only range list
113	ARM64_WORKAROUND_CAVIUM_TX2_219_TVM	ABSENT	ABSENT	ABSENT	no	custom TX2-family range is Cortex-A72-disjoint
114	ARM64_WORKAROUND_CLEAN_CACHE	ABSENT	ABSENT	ABSENT	no	selected affected Cortex-A53 revisions exclude Cortex-A72
115	ARM64_WORKAROUND_DEVICE_LOAD_ACQUIRE	ABSENT	ABSENT	ABSENT	no	Cortex-A57-only range
116	ARM64_WORKAROUND_NVIDIA_CARMEL_CNP	ABSENT	ABSENT	ABSENT	no	Carmel-only range
117	ARM64_WORKAROUND_PMUV3_IMPDEF_TRAPS	ABSENT	ABSENT	ABSENT	no	custom Apple range list is Cortex-A72-disjoint
118	ARM64_WORKAROUND_QCOM_FALKOR_E1003	ABSENT	ABSENT	ABSENT	no	selected multi-entry members are Cortex-A72-disjoint
119	ARM64_WORKAROUND_QCOM_ORYON_CNTVOFF	ABSENT	ABSENT	ABSENT	no	Oryon-only range list
120	ARM64_WORKAROUND_REPEAT_TLBI	ABSENT	ABSENT	ABSENT	no	selected multi-entry members are Cortex-A72-disjoint
121	ARM64_WORKAROUND_SPECULATIVE_AT	PRESENT	PRESENT	PRESENT	yes	selected erratum-1319367 member contains all Cortex-A72 revisions
122	ARM64_WORKAROUND_SPECULATIVE_SSBS	ABSENT	ABSENT	ABSENT	no	canonical range list is Cortex-A72-disjoint
123	ARM64_WORKAROUND_SPECULATIVE_UNPRIV_LOAD	ABSENT	ABSENT	ABSENT	no	Cortex-A510/A520-only range list
