id	order_or_scope	callback_set	up_result	rollback_or_down_result	selected_reachability	closure_effect
H01	STARTING before online publication	scheduler then GICv3 then debug-monitor then arm-arch-timer then event-stream then dummy-timer then hrtimer	selected callbacks return zero; atomic no-fail range warns and continues on nonzero	No ordinary callback error reaches cpuhp_up_callbacks	reachable after CPU_ON	Unexpected drift must latch ARMED-to-FAILING before publication and enter P30U with PARKED; it is not a P32 trigger.
H02	AP success-publication boundary	booted pr_info then CPU_BOOT_SUCCESS then cpu_online then generation PUBLISHED then exact completion then CPUHP_AP_ONLINE_IDLE	publication ownership is acquired once before the booted log and first success-status write	AP rollback may later return to AP_ONLINE_IDLE	reachable	P14/P15 controller point consumes PUBLISHED plus exact completion immediately after __cpu_up success before later synchronization.
H03	fixed ONLINE 1-5	AP_SCHED_WAIT_EMPTY marker has no startup callback then smpboot then irq-affinity then block-mq then selected perf stub	up callbacks selected zero	block-mq down may return EBUSY; others selected zero or absent	reachable	Record exact completed and unwound prefix.
H04	fixed ONLINE 6-11	timer-migration then lockup stub then workqueue then random then RCU then kthreads	timer-migration may EINVAL; kthreads may ENOMEM or EINVAL	workqueue down invariant may return -1; others selected zero	reachable	The post-publication fixed set is fallible.
H05	fixed ONLINE 12	base-cacheinfo	may return ENOENT ENOMEM OF cache-hierarchy device or sysfs errors	down selected zero	reachable	A realistic fallible P32 trigger remains.
H06	mandatory dynamic relative 1-3	writeback then vmstat then padata multi-instance	writeback and vmstat zero; padata may return ENOMEM while replacing per-instance data	writeback and vmstat absent or zero; padata may return ENOMEM	reachable because CONFIG_PADATA=y	Preserve mandatory relative order and every partial padata instance prefix; numeric slots remain unclaimed.
H07	mandatory dynamic relative 4-6	arm64 topology then io-wq multi-instance then cpu-capacity	topology and live io-wq instances zero; capacity may ENOENT	io-wq clears each live instance CPU bit; capacity may ENOENT	reachable because CONFIG_IO_URING=y	io-wq always reserves a state even with no live instance; conditional SDEI can insert before it.
H08	mandatory dynamic relative 7-10	arm64 cpuinfo then percpu-counter then CPU LED then printk	cpuinfo may ENODEV or sysfs errors; remainder zero	cpuinfo may ENODEV; remainder absent or zero	reachable	Preserve mandatory relative order; conditional mismatched-32-bit can insert before cpuinfo and topology or userspace objects can diverge.
H09	conditional before every mandatory dynamic	GICv3 ITS memreserve	may ENOMEM and can self-remove after all possible CPUs have booted once	no teardown	configuration-excluded because CONFIG_EFI=n	EFI or ITS drift inserts a fallible state before pvtime and shifts every later numeric slot.
H10	conditional before writeback	arm pvtime	may EINVAL ENOMEM or ENXIO; ENXIO can retain a partial mapped-address effect	selected removal clears the RCU pointer synchronizes and unmaps	registered only when both SMCCC stolen-time feature probes succeed; same-boot absence is unproven	No absolute slot may be assigned without a same-boot state capture; firmware drift reopens it.
H11	conditional after arm64 topology and before io-wq	SDEI	up may return firmware local-unmask error after private-event errors were logged	may return firmware local-mask error	CONFIG_ARM_SDE_INTERFACE=y but exact canonical DT has no arm,sdei-1.0 node	DT firmware or probe drift can insert a fallible state and shift all later slots.
H12	conditional after cpu-capacity and before cpuinfo	arm64 mismatched-32-bit-EL0	callback zero; registration allocation may fail before the state exists	no teardown	absent because CONFIG_CMDLINE_FORCE=y and exact forced command line lacks allow_mismatched_32bit_el0	Boot-parameter drift inserts a state and shifts later slots.
H13	runtime numeric-state identity prerequisite	/sys/devices/system/cpu/hotplug/states plus module probe and boot-parameter context	capture immediately before the first A72 attempt	capture must identify every conditional insertion and live multi-instance context	not captured in this source-only experiment	A25 remains incomplete and no DYN+N identity is claimed until same-boot evidence freezes it.
H14	fixed final	sched-active then CPUHP_ONLINE	up zero	down may propagate deadline-bandwidth deactivation error	reachable	Earlier rollback itself can fail before the physical boundary.
H15	outer rollback	cpuhp_up_callbacks then nested AP rollback then BP rollback	returns original startup callback error	cleanup errors are warned and swallowed; can_rollback_cpu is true	reachable because CONFIG_HOTPLUG_CPU=y	Cannot prove all callbacks non-failing; P32 side channel is mandatory.
