id	scope	artifact	sha256	source_anchor	observation	decision
S01	upstream-archive	linux-7.1.3.tar.xz	be41c068e88f5242a19bccdbffbe077b18c47b45f627e2325504b4fab79dd1dc	kernel/manifest.json	Official Linux 7.1.3 source selected by the manifest.	All source conclusions are revision-bound.
S02	canonical-patchset	patches/series plus every listed patch byte	f6f7aff7e8db59520eee22c52e726d91401ab209c6dc47e87024eefd215310d1	scripts/kernel:patchset_hash and build.json:patchset_sha256	Selected package used the canonical series-file hash plus all 136 ordered patch path and content hashes.	Recompute every listed patch; rejected experimental patches are excluded.
S03	prepared-source-state	linux-7.1.3+canonical-series	001976aca83e752b36d76e5b8b0ba40addd741cc8e31e6c046e27b9890db2b41	canonical source audit	No selected patch changes the audited generic arm64 capability or CPUHP core files.	Audit generic source at these exact bytes.
S04	boot-veto	patches/v7.1.3/0092-arm64-mediatek-gate-MT6797-A72-PSCI-boot.patch	cbd54d048e2233ffcb268174037248ade9ab8716f9816481d926b20b4bd3bba5	mt6797_psci.c:27-49	A72 cpu_boot returns -EAGAIN before CPU_ON; cpu_can_disable is false; cpu_disable cpu_die and cpu_kill are absent.	Keep the A26 boot veto closed.
S05	arm64-startup	arch/arm64/kernel/smp.c	3f34af99daddb6d30793d458aa504c66819506d1df936727af6fc5b8060ddc25	smp.c:135-430	A single global secondary_data and cpu_running completion span startup status publication and timeout handling.	P30 needs exact-generation arbitration and park acknowledgement.
S06	arm64-capabilities	arch/arm64/kernel/cpufeature.c	1eb87f2754f7dd01393ef74429959dbc9fffa30b34dea6513045124c2ec8e031	cpufeature.c:2421-2427,3630-3680,3943-4013	A late CPU introducing a non-permitted local capability is rejected through cpu_die_early after alternatives and HWCAP finalization.	A41 must act before finalization and include capability-specific effects.
S07	arm64-errata	arch/arm64/kernel/cpu_errata.c	b665927a9c93713ee139311a354400cc9b9418e2c5651d81afe6c4868634adc4	cpu_errata.c:488-499,559-564,785-790,921-927	All Cortex-A72 revisions match speculative-AT and erratum-1742098 tables selected by the profile.	Pre-account both capabilities.
S08	arm64-spectre	arch/arm64/kernel/proton-pack.c	e6caf0bd4f63c52e570b28f089ec551eebccaf124087980a0d5d6ed156389c06	proton-pack.c:824-997,1025-1177	Cortex-A53 is BHB-safe; Cortex-A72 requires the loop mitigation with k=8 unless a stronger local mechanism applies.	Precompute BHB state parameters and alternatives before finalization.
S09	arm64-early-assembly	arch/arm64/kernel/head.S	db56887baf6cb87c24974609ffdb76ed5765a3756739c50a44384e384925977d	head.S:secondary-entry status paths	Pre-C 52-bit-VA and unsupported-granule failures publish reasoned STUCK without C-ledger access.	P30E is controller-owned and never queries or kills.
S10	upstream-arm64-cpu-ops	arch/arm64/kernel/cpu_ops.c	b47ce91342071c78999a6db81a4d27366816ce01e05e3231137cd0ab980891d6	upstream cpu_ops.c:23-141	Official archive input before canonical patch application; it contains generic DT method dispatch but not the MT6797 method added by patch 0092.	Compose with S04 and verify selected prepared result S22.
