id	scenario	order	function	code_range	target	action	condition	scope	wait	replay
EF01	cpu9-off-cpu8-retained	1	platform_affinst_off	0x102304	gic-cpu-interface	deactivate	linear-id=9	current-cpu	not-a-wait	once
EF02	cpu9-off-cpu8-retained	2	platform_affinst_off	0x102304	linear-id-ledger	bookkeeping	linear-id=9	private-firmware-state	not-a-wait	once
EF03	cpu9-off-cpu8-retained	3	platform_affinst_off	0x102304	vendor-current-cpu-sysreg	update-low-bits	linear-id=9	current-cpu	not-a-wait	once
EF04	cpu9-off-cpu8-retained	4	platform_affinst_off	0x102304	cci-disable-and-disable-scu	no-write	linear-id>7	cluster-shared-power-clock-cci-spm	not-a-wait	not-entered
EF05	cpu9-off-cpu8-retained	5	power_off_big	0x102ab4-0x102acc;0x102b24-0x102b3c	0x10222400;0x10222404	write-0x0000001b-and-read-twice	private-big_on-bit1=1	shared-diagnostic	not-a-wait	before-ledger-clear
EF06	cpu9-off-cpu8-retained	6	power_off_big	0x102af8-0x102b0c	0x10006178	poll-mask-0x00000800-equals-0x00000800	cpu9-wfi-bit11	per-core-status	unbounded-no-timeout	before-ledger-clear
EF07	cpu9-off-cpu8-retained	7	power_off_big	0x102b58-0x102b94	0x10006244	rmw-clear-bit2	cpu9-pwr-con	per-core-power	not-a-wait	before-ledger-clear
EF08	cpu9-off-cpu8-retained	8	power_off_big	0x102bb4-0x102bc8	0x10006188	poll-mask-0x00000040-equals-0	cpu9-status-bit6	per-core-status	unbounded-no-timeout	before-ledger-clear
EF09	cpu9-off-cpu8-retained	9	power_off_big	0x102be0-0x102c04	0x10006244	rmw-clear-bit0	cpu9-pwr-con	per-core-power	not-a-wait	before-ledger-clear
EF10	cpu9-off-cpu8-retained	10	power_off_big	0x102c08-0x102c34	private-big_on-ledger	clear-bit1	cpu9-target	private-firmware-state	not-a-wait	prevents-hardware-replay
EF11	cpu9-off-cpu8-retained	11	power_off_big	0x102c38-0x102c78	cluster-last-core-branch	no-write	private-big_on!=0	cluster-shared-power-clock-cci-spm	not-a-wait	return-before-cluster-off
EF12	cpu9-off-cpu8-retained	12	power_off_big	0x102a0c-0x102c78	0x10222400;private-big_on-ledger	proven-nonempty-write-subset	cpu9-off-attempt	shared-diagnostic-and-private-firmware-state	not-a-wait	not-empty
EF13	last-a72-off	1	platform_affinst_off	0x102304	cci-disable-and-disable-scu	no-write	linear-id>7	callback-cluster-block	not-a-wait	not-entered
EF14	last-a72-off	2	power_off_big	0x102ab4-0x102acc;0x102b24-0x102b3c	0x10222400;0x10222404	write-0x0000001b-and-read-twice	private-big_on-bit0=1	shared-diagnostic	not-a-wait	before-ledger-clear
EF15	last-a72-off	3	power_off_big	0x102af8-0x102b0c	0x10006178	poll-mask-0x00000400-equals-0x00000400	cpu8-wfi-bit10	per-core-status	unbounded-no-timeout	before-ledger-clear
EF16	last-a72-off	4	power_off_big	0x102b58-0x102b94	0x10006240	rmw-clear-bit2	cpu8-pwr-con	per-core-power	not-a-wait	before-ledger-clear
EF17	last-a72-off	5	power_off_big	0x102bb4-0x102bc8	0x10006188	poll-mask-0x00000080-equals-0	cpu8-status-bit7	per-core-status	unbounded-no-timeout	before-ledger-clear
